classname , cbo , dit , fanIn , fanOut , lcom , noc , numberOfAttributes , numberOfAttributesInherited , numberOfLinesOfCode , numberOfMethods , numberOfMethodsInherited , numberOfPrivateAttributes , numberOfPrivateMethods , numberOfPublicAttributes , numberOfPublicMethods , rfc , wmc , bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs ,bugsBoolean
org::apache::lucene::util::cache::Cache ,2,1,2,0,15,2,0,0,6,6,9,0,0,0,5,8,2,0,0,0,0,0,0
org::apache::lucene::search::TermsFilter ,6,2,3,3,15,0,1,0,63,6,21,0,0,1,6,36,15,0,0,0,0,0,0
org::apache::lucene::store::IndexInput ,46,1,45,1,120,12,3,0,89,16,18,3,1,0,15,37,24,0,0,0,0,0,0
org::apache::lucene::index::MockIndexInput ,2,3,1,1,10,0,3,2,28,5,44,3,0,0,3,6,7,0,0,0,0,0,0
org::apache::lucene::search::Collector ,2,2,1,1,1,0,2,0,25,2,11,2,0,0,2,3,4,0,0,0,0,0,0
org::apache::lucene::queryParser::precedence::PrecedenceQueryParser ,24,1,1,23,1081,1,37,36,822,47,9,24,10,11,30,284,244,0,0,0,0,0,0
org::apache::lucene::index::TermEnum ,42,1,41,1,15,6,0,0,7,6,9,0,0,0,6,9,3,0,0,0,0,0,0
org::apache::lucene::store::MockRAMInputStream ,4,3,1,3,3,0,3,1,44,3,49,3,0,0,3,11,6,0,0,0,0,0,0
org::apache::lucene::wikipedia::analysis::WikipediaTokenizerImpl ,6,1,1,5,231,0,64,0,422,22,9,34,7,0,12,77,139,0,0,0,0,0,0
org::apache::lucene::util::OpenBitSetIterator ,2,2,2,0,10,0,8,0,73,5,13,7,1,0,4,7,16,0,0,0,0,0,0
org::apache::lucene::search::DefaultSimilarity ,8,2,6,2,45,3,1,0,32,10,31,0,0,0,10,19,10,0,0,0,0,0,0
org::apache::lucene::index::InvertedDocConsumer ,2,1,2,0,15,1,1,0,3,6,9,0,0,1,0,6,1,0,0,0,0,0,0
org::apache::lucene::analysis::ngram::NGramTokenFilter ,3,3,1,2,3,0,5,1,32,3,16,3,1,0,2,13,8,1,0,0,0,0,1
org::apache::lucene::search::MultiSearcher ,13,3,8,5,78,1,3,0,111,13,37,3,0,0,11,38,25,1,0,0,0,0,1
org::apache::lucene::queryParser::surround::query::SrndQuery ,11,1,8,3,66,3,3,0,30,12,18,2,0,0,11,25,12,0,0,0,0,0,0
org::apache::lucene::analysis::compound::hyphenation::HyphenationTree ,9,2,1,8,78,0,5,9,270,13,54,2,0,0,8,67,61,0,0,0,0,0,0
org::apache::lucene::index::StoredFieldsWriterPerThread ,3,2,1,2,10,0,4,0,32,5,13,0,0,4,5,9,7,0,0,0,0,0,0
org::apache::lucene::search::function::ByteFieldSource ,4,3,0,4,10,0,1,0,43,5,31,1,0,0,5,13,8,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::OrQuery ,6,3,2,4,6,0,0,1,29,4,47,0,0,0,4,15,8,0,0,0,0,0,0
org::apache::lucene::search::SpanFilterResult ,3,1,3,0,6,0,3,0,13,4,9,3,0,0,4,4,4,0,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicStemFilter ,5,3,2,3,1,0,1,1,20,2,16,0,0,0,1,8,4,0,0,0,0,0,0
org::apache::lucene::index::LogByteSizeMergePolicy ,2,3,1,1,15,0,2,6,20,6,30,0,0,0,5,7,6,0,0,0,0,0,0
org::apache::lucene::util::ArrayUtil ,10,1,9,1,10,0,0,0,38,5,9,0,0,0,5,9,9,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::SrndPrefixQuery ,7,3,1,6,21,0,2,1,35,7,44,2,0,0,6,25,12,0,0,0,0,0,0
org::apache::lucene::index::LogMergePolicy ,6,2,1,6,136,2,10,0,258,17,15,4,2,3,14,79,58,0,0,0,0,0,0
org::apache::lucene::queryParser::analyzing::AnalyzingQueryParser ,9,2,1,8,10,0,0,56,209,5,68,0,0,0,1,95,33,0,0,0,0,0,0
org::apache::lucene::search::spans::SpanFirstQuery ,13,3,7,6,66,0,2,0,98,12,44,2,0,0,12,31,18,0,0,0,0,0,0
org::apache::lucene::index::GCJSegmentReader ,1,4,0,1,0,0,0,15,7,1,80,0,0,0,1,3,2,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::AddDocTask ,8,2,1,7,21,0,5,2,40,7,39,3,1,1,6,31,11,0,0,0,0,0,0
org::apache::lucene::index::TermVectorsReader ,13,1,3,10,105,0,15,0,313,15,18,8,6,0,1,73,58,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::ReportTask ,14,2,6,8,21,4,10,2,71,7,39,0,0,0,1,57,18,0,0,0,0,0,0
org::apache::lucene::search::RemoteSearchable ,7,2,3,4,45,0,1,0,50,10,44,1,0,0,10,25,14,0,0,0,0,0,0
org::apache::lucene::swing::models::BaseListModel ,5,1,4,1,10,0,1,0,19,5,32,1,0,0,5,16,6,0,0,0,0,0,0
org::apache::lucene::index::ConcurrentMergeScheduler ,15,2,11,5,190,1,11,0,182,20,11,6,4,1,11,75,39,2,0,0,0,0,1
org::apache::lucene::document::SetBasedFieldSelector ,5,2,5,0,1,0,2,0,14,2,19,2,0,0,2,4,4,0,0,0,0,0,0
org::apache::lucene::analysis::de::GermanStemFilter ,6,3,2,4,6,0,2,1,29,4,16,2,0,0,4,10,10,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::ConstantScoreQueryBuilder ,5,1,1,4,1,0,1,0,12,2,10,1,0,0,2,7,2,0,0,0,0,0,0
org::apache::lucene::index::SegmentMerger ,27,1,3,25,136,0,18,0,507,17,9,16,8,1,0,175,104,1,0,0,0,0,1
org::apache::lucene::benchmark::utils::ExtractReuters ,9,1,0,9,10,0,6,0,115,5,9,5,1,1,3,45,17,0,0,0,0,0,0
org::apache::lucene::util::PriorityQueue ,33,1,33,0,66,15,3,0,90,12,9,2,2,0,8,23,25,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::ResetInputsTask ,2,2,0,2,3,1,0,2,10,3,39,0,0,0,2,5,3,0,0,0,0,0,0
org::apache::lucene::index::TermVectorEntryFreqSortedComparator ,5,1,3,2,1,0,0,0,15,2,9,0,0,0,2,7,3,0,0,0,0,0,0
org::apache::lucene::index::LogDocMergePolicy ,6,3,6,0,6,1,1,6,17,4,30,0,0,0,3,4,4,0,0,0,0,0,0
org::apache::lucene::benchmark::quality::QualityBenchmark ,9,1,2,7,21,0,6,0,60,7,9,2,1,0,6,25,13,0,0,0,0,0,0
org::apache::lucene::search::function::ValueSource ,4,1,4,0,10,3,0,0,3,5,18,0,0,0,5,6,1,0,0,0,0,0,0
org::apache::lucene::store::VerifyingLockFactory ,3,2,1,2,3,0,4,1,12,3,13,0,0,4,3,6,3,0,0,0,0,0,0
org::apache::lucene::index::TermsHashPerThread ,11,2,5,8,28,0,10,0,75,8,13,0,1,10,4,28,17,0,0,0,0,0,0
org::apache::lucene::index::ReusableStringReader ,2,1,1,1,3,0,3,0,22,3,29,0,0,3,2,7,5,0,0,0,0,0,0
org::tartarus::snowball::ext::NorwegianStemmer ,1,2,0,1,15,0,7,6,281,6,35,7,5,0,1,24,44,0,0,0,0,0,0
org::apache::lucene::search::TopFieldDocCollector ,3,3,0,3,3,0,1,2,29,3,15,1,0,0,3,13,6,0,0,0,0,0,0
org::apache::lucene::analysis::sinks::DateRecognizerSinkTokenizer ,3,4,0,3,1,0,2,3,19,2,22,0,0,0,2,6,4,0,0,0,0,0,0
org::apache::lucene::xmlparser::QueryBuilderFactory ,5,1,3,2,6,0,1,0,14,4,10,0,0,1,4,11,4,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::EnwikiDocMaker ,4,3,1,3,6,0,8,14,16,4,39,0,1,1,3,12,4,0,0,0,0,0,0
org::apache::lucene::search::DisjunctionMaxScorer ,3,3,1,2,55,0,4,0,115,11,17,4,4,0,7,64,32,0,0,0,0,0,0
org::apache::lucene::search::BooleanQuery ,36,2,30,8,210,1,5,0,149,21,39,4,0,0,20,94,46,0,0,0,0,0,0
org::apache::lucene::index::DocInverterPerThread ,6,2,1,5,10,0,7,0,26,5,13,0,0,7,4,14,5,0,0,0,0,0,0
org::apache::lucene::index::TermBuffer ,9,1,1,8,36,0,6,0,79,9,18,6,1,0,5,30,16,0,0,0,0,0,0
org::apache::lucene::util::DocIdBitSet ,5,2,4,1,3,0,1,0,9,3,11,1,0,0,3,4,3,0,0,0,0,0,0
org::apache::lucene::analysis::TokenFilter ,5,2,4,1,3,42,1,0,10,3,13,0,0,0,2,5,3,1,0,0,0,0,1
org::apache::lucene::analysis::cjk::CJKTokenizer ,3,3,1,2,1,0,9,1,140,2,16,9,0,0,2,8,26,0,0,0,0,0,0
org::apache::lucene::search::Query ,103,1,99,7,66,16,1,0,84,12,27,1,0,0,11,49,23,0,0,0,0,0,0
org::apache::lucene::analysis::CachingTokenFilter ,7,3,6,1,6,0,2,1,30,4,16,2,1,0,3,14,8,1,0,0,0,0,1
org::apache::lucene::benchmark::byTask::tasks::SearchWithSortTask ,5,3,0,5,45,0,1,2,61,10,55,1,1,0,9,24,16,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::TrecDocMaker ,13,2,0,13,36,0,9,11,153,9,33,3,0,0,3,71,27,1,0,0,0,0,1
org::apache::lucene::benchmark::quality::trec::Trec1MQReader ,3,1,0,3,1,0,1,0,33,2,9,1,0,0,2,16,4,0,0,0,0,0,0
org::apache::lucene::demo::HTMLDocument ,7,1,1,6,6,0,1,0,52,4,9,0,1,1,3,25,4,0,0,0,0,0,0
org::apache::lucene::util::Parameter ,1,1,0,1,6,6,2,0,24,4,18,1,1,1,1,12,6,0,0,0,0,0,0
org::apache::lucene::search::RemoteCachingWrapperFilter ,2,2,0,2,3,1,1,0,11,3,21,0,0,0,3,9,3,0,0,0,0,0,0
org::apache::lucene::swing::models::BaseTableModel ,7,1,4,3,45,0,2,0,60,10,39,2,0,0,10,30,18,0,0,0,0,0,0
lucli::LuceneMethods ,21,1,1,20,78,0,8,0,232,13,9,8,5,0,8,147,48,0,0,0,0,0,0
org::tartarus::snowball::SnowballProgram ,25,1,21,4,325,19,6,0,306,26,9,0,0,0,3,76,95,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::RepAllTask ,8,3,0,8,3,0,0,12,38,3,46,0,0,0,2,28,9,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::DemoHTMLParser ,2,1,0,2,1,0,0,0,5,2,10,0,0,0,2,5,2,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::SpanNearBuilder ,5,3,1,4,1,0,1,0,19,2,12,0,0,1,2,14,4,0,0,0,0,0,0
org::apache::lucene::index::SegmentTermPositions ,3,2,0,3,105,0,7,9,129,15,37,7,4,0,7,34,31,0,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianStemmer ,4,1,2,2,136,0,40,0,173,17,9,40,14,0,3,68,44,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::LineDocMaker ,6,2,2,4,21,1,7,11,38,7,33,4,1,3,4,23,10,0,0,0,0,0,0
org::apache::lucene::index::NormsWriterPerField ,5,2,2,3,10,0,7,0,32,5,11,0,0,7,3,12,8,0,0,0,0,0,0
org::apache::lucene::queryParser::precedence::PrecedenceQueryParserTokenManager ,4,1,1,3,496,0,19,36,947,32,9,2,26,7,5,167,301,0,0,0,0,0,0
org::apache::lucene::analysis::fr::FrenchAnalyzer ,5,2,1,4,3,0,3,0,19,3,15,2,0,0,3,14,5,0,0,0,0,0,0
org::apache::lucene::search::ReqOptSumScorer ,4,3,1,3,15,0,3,0,41,6,17,3,0,0,6,18,12,0,0,0,0,0,0
org::apache::lucene::ant::DocumentHandlerException ,2,1,1,1,3,0,1,0,16,3,27,1,0,0,3,7,4,0,0,0,0,0,0
org::apache::lucene::analysis::shingle::ShingleAnalyzerWrapper ,2,2,0,2,15,0,3,0,23,6,15,0,0,0,6,10,6,0,0,0,0,0,0
org::apache::lucene::queryParser::TokenMgrError ,5,1,2,3,6,0,5,0,57,4,27,0,0,1,2,26,17,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::SpanFirstBuilder ,5,3,1,4,1,0,1,0,14,2,12,0,0,1,2,8,2,0,0,0,0,0,0
org::apache::lucene::search::MatchAllDocsQuery ,13,2,8,5,15,0,0,0,22,6,39,0,0,0,5,15,7,0,0,0,0,0,0
org::apache::lucene::xmlparser::ParserException ,0,1,0,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::utils::Format ,7,1,4,3,6,0,2,0,21,4,9,2,0,0,4,18,5,0,0,0,0,0,0
org::tartarus::snowball::ext::PorterStemmer ,1,2,0,1,78,0,11,6,788,13,35,11,12,0,1,90,141,0,0,0,0,0,0
org::apache::lucene::swing::models::DataStore ,6,1,6,0,1,0,19,0,7,2,9,4,1,15,1,3,2,0,0,0,0,0,0
org::apache::lucene::store::MockRAMDirectory ,18,3,10,9,253,0,11,4,195,23,48,2,2,9,19,97,61,0,0,0,0,0,0
org::apache::lucene::search::HitQueue ,1,2,0,1,1,0,0,1,11,2,19,0,0,0,0,3,3,0,0,0,0,0,0
org::apache::lucene::misc::IndexMergeTool ,3,1,0,3,0,0,0,0,22,1,9,0,0,0,1,11,3,0,0,0,0,0,0
org::apache::lucene::search::Filter ,18,1,17,1,3,16,0,0,6,3,18,0,0,0,3,5,2,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::OpenIndexTask ,4,2,0,4,1,0,5,2,14,2,39,0,0,0,2,10,2,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::TooManyBasicQueries ,1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::CloseIndexTask ,5,2,1,4,6,0,1,2,18,4,39,0,0,1,4,11,5,0,0,0,0,0,0
org::apache::lucene::search::highlight::Highlighter ,29,1,17,12,105,0,7,0,280,15,9,5,1,0,14,86,46,0,0,0,0,0,0
org::apache::lucene::store::AlreadyClosedException ,4,1,4,0,0,0,0,0,3,1,29,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::index::FilterIndexReader ,2,2,1,1,276,2,1,2,82,24,58,0,0,0,19,60,24,0,0,0,0,0,0
org::apache::lucene::index::SegmentWriteState ,4,1,4,0,1,0,8,0,13,2,9,0,0,8,2,3,2,0,0,0,0,0,0
org::apache::lucene::search::FilteredQuery ,14,2,9,5,36,0,2,0,131,9,39,0,0,2,8,28,15,0,0,0,0,0,0
org::apache::lucene::misc::ChainedFilter ,7,2,1,6,21,0,8,0,101,7,21,3,4,1,2,44,22,0,0,0,0,0,0
org::apache::lucene::search::RemoteCachingWrapperFilterHelper ,5,3,1,4,3,0,1,1,22,3,24,1,0,0,3,10,5,0,0,0,0,0,0
org::apache::lucene::search::spell::LuceneDictionary ,4,1,2,2,1,0,2,0,7,2,10,2,0,0,2,4,2,0,0,0,0,0,0
org::apache::lucene::search::payloads::PayloadHelper ,4,1,1,3,1,0,6,0,21,2,9,3,0,0,2,16,2,0,0,0,0,0,0
org::apache::lucene::util::ScorerDocQueue ,4,1,1,3,120,0,4,0,115,16,9,4,4,0,12,33,29,0,0,0,0,0,0
org::apache::lucene::index::StaleReaderException ,1,1,1,0,0,0,0,0,3,1,27,0,0,0,1,1,1,0,0,0,0,0,0
org::apache::lucene::analysis::cn::ChineseFilter ,5,3,1,4,1,0,2,1,38,2,16,1,0,0,2,10,8,0,0,0,0,0,0
org::apache::lucene::index::TermVectorOffsetInfo ,8,1,8,0,21,0,3,0,33,7,9,2,0,0,7,7,11,1,0,0,0,0,1
org::apache::lucene::benchmark::byTask::Benchmark ,8,1,2,6,10,0,3,0,70,5,9,3,0,0,5,35,10,0,0,0,0,0,0
org::apache::lucene::analysis::standard::StandardTokenizerImpl ,6,1,1,5,171,0,41,0,271,19,9,29,7,0,10,40,64,0,0,0,0,0,0
org::apache::lucene::document::DateField ,7,1,2,5,21,0,1,0,40,7,9,1,1,0,6,24,12,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::programmatic::Sample ,8,1,0,8,1,0,0,0,56,2,9,0,1,0,1,18,2,0,0,0,0,0,0
org::apache::lucene::index::CheckIndex ,17,1,2,15,36,0,4,0,427,9,9,3,3,1,6,150,79,2,0,0,0,0,1
org::apache::lucene::index::FormatPostingsTermsConsumer ,4,1,2,2,1,1,1,0,8,2,9,0,0,1,0,6,3,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::ReopenReaderTask ,3,2,0,3,1,0,0,2,13,2,39,0,0,0,2,8,3,0,0,0,0,0,0
org::apache::lucene::index::SegmentTermEnum ,7,2,2,5,66,0,15,0,132,12,24,8,0,7,4,44,26,0,0,0,0,0,0
org::apache::lucene::analysis::TokenStream ,90,1,90,0,6,22,0,0,7,4,9,0,0,0,4,5,3,1,0,0,0,0,1
org::apache::lucene::analysis::nl::DutchAnalyzer ,4,2,0,4,6,0,4,0,31,4,15,3,0,0,4,14,4,0,0,0,0,0,0
org::apache::lucene::analysis::PorterStemmer ,5,1,1,4,231,0,8,0,312,22,9,8,12,0,8,157,164,0,0,0,0,0,0
org::apache::lucene::search::PrefixTermEnum ,5,3,1,4,6,0,2,0,18,4,24,2,0,0,2,12,6,0,0,0,0,0,0
org::apache::lucene::store::je::JELock ,1,2,1,0,6,0,1,3,11,4,12,0,0,1,4,4,4,0,0,0,0,0,0
org::apache::lucene::queryParser::precedence::ParseException ,5,1,2,3,3,0,5,0,87,3,27,0,0,3,2,23,24,0,0,0,0,0,0
org::apache::lucene::search::TermQuery ,80,2,73,7,21,1,1,0,30,7,39,1,0,0,6,25,10,0,0,0,0,0,0
org::apache::lucene::search::spans::SpanTermQuery ,27,3,20,7,45,1,1,0,36,10,44,0,0,0,10,33,13,0,0,0,0,0,0
org::apache::lucene::util::English ,0,1,0,0,1,0,0,0,72,2,9,0,0,0,2,45,38,0,0,0,0,0,0
org::apache::lucene::index::FieldsWriter ,10,1,4,6,45,0,10,0,185,10,9,4,1,0,0,78,27,0,0,0,0,0,0
org::apache::lucene::document::DateTools ,18,1,13,5,15,0,8,0,126,6,9,8,1,0,5,56,27,0,0,0,0,0,0
org::apache::lucene::analysis::ar::ArabicAnalyzer ,4,2,0,4,1,0,3,0,11,2,15,1,0,0,2,7,2,0,0,0,0,0,0
org::apache::lucene::benchmark::quality::trec::TrecTopicsReader ,6,1,2,4,3,0,1,0,60,3,9,1,1,0,2,22,10,0,0,0,0,0,0
org::apache::lucene::analysis::SinkTokenizer ,10,3,10,0,15,4,2,1,28,6,16,0,0,0,6,14,9,0,0,0,0,0,0
org::apache::lucene::search::FieldDocSortedHitQueue ,11,2,1,10,10,0,2,1,123,5,19,0,1,2,0,25,41,0,0,0,0,0,0
org::apache::lucene::search::TermScorer ,8,3,2,6,21,0,11,0,81,7,17,11,0,0,6,29,19,0,0,0,0,0,0
org::apache::lucene::swing::models::TableSearcherSimulator ,15,1,0,15,1,0,0,0,51,2,9,0,0,0,2,27,2,0,0,0,0,0,0
org::apache::lucene::search::BooleanFilter ,10,2,2,8,45,0,4,0,129,10,21,1,3,3,6,76,42,0,0,0,0,0,0
org::apache::lucene::index::DocConsumerPerThread ,1,1,1,0,1,1,0,0,0,2,9,0,0,0,0,2,0,0,0,0,0,0,0
org::apache::lucene::analysis::compound::hyphenation::ByteVector ,2,1,1,1,28,0,4,0,42,8,18,4,0,0,8,10,11,0,0,0,0,0,0
org::apache::lucene::analysis::payloads::PayloadHelper ,3,1,2,1,6,0,0,0,18,4,9,0,0,0,4,8,4,0,0,0,0,0,0
org::apache::lucene::search::DisjunctionMaxQuery ,6,2,2,4,45,0,2,0,81,10,39,2,0,0,9,53,26,0,0,0,0,0,0
org::apache::lucene::analysis::th::ThaiAnalyzer ,3,2,1,2,1,0,0,0,7,2,15,0,0,0,2,6,1,0,0,0,0,0,0
org::apache::lucene::store::IndexOutput ,33,1,31,2,105,5,3,0,61,15,9,3,0,0,15,30,19,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::FieldsQuery ,5,2,0,5,28,0,4,1,48,8,30,4,0,0,7,40,11,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::AndQuery ,3,3,1,2,1,0,0,1,7,2,45,0,0,0,2,4,2,0,0,0,0,0,0
org::apache::lucene::analysis::ru::RussianLetterTokenizer ,3,4,2,1,1,0,1,1,14,2,21,1,0,0,1,3,5,0,0,0,0,0,0
org::apache::lucene::index::MultiLevelSkipListWriter ,5,1,2,3,15,1,3,0,66,6,9,3,0,0,0,19,18,0,0,0,0,0,0
org::apache::lucene::search::function::IntFieldSource ,5,3,1,4,10,0,1,0,43,5,31,1,0,0,5,13,8,0,0,0,0,0,0
org::apache::lucene::index::SerialMergeScheduler ,7,2,6,1,3,1,0,0,10,3,11,0,0,0,3,5,4,0,0,0,0,0,0
org::apache::lucene::analysis::standard::StandardFilter ,12,3,10,2,1,0,2,1,32,2,16,2,0,0,2,8,11,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::SearchTask ,2,3,1,2,15,1,0,2,18,6,55,0,0,0,6,8,6,0,0,0,0,0,0
org::apache::lucene::util::SmallFloat ,3,1,2,1,15,0,0,0,62,6,9,0,0,0,6,12,18,0,0,0,0,0,0
org::apache::lucene::store::je::JEIndexOutput ,4,2,1,3,28,0,8,0,83,8,24,0,0,0,7,34,16,0,0,0,0,0,0
org::apache::lucene::analysis::LowerCaseFilter ,14,3,11,3,1,0,0,1,17,2,16,0,0,0,2,6,4,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::ExceptionQueryTst ,6,1,2,4,3,0,2,0,34,3,9,2,0,0,3,14,7,0,0,0,0,0,0
org::apache::lucene::demo::html::Token ,2,1,2,0,3,0,8,0,9,3,9,0,0,8,3,4,2,0,0,0,0,0,0
org::apache::lucene::store::db::DbIndexInput ,6,2,1,5,28,0,5,0,92,8,33,0,0,0,7,34,16,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::DocData ,5,1,5,0,55,0,5,0,37,11,9,5,0,0,11,11,11,0,0,0,0,0,0
org::apache::lucene::search::spans::SpanNearQuery ,24,3,17,9,78,0,4,0,113,13,44,4,0,0,13,65,33,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::parser::Token ,2,1,2,0,3,0,8,0,9,3,9,0,0,8,3,4,2,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::PerfTask ,43,1,37,6,210,20,7,0,93,21,18,5,0,0,15,54,31,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::BasicDocMaker ,17,1,6,11,136,5,20,0,177,17,19,9,3,0,9,115,55,0,0,0,0,0,0
org::apache::lucene::search::regex::JavaUtilRegexCapabilities ,3,1,0,3,10,0,1,0,22,5,12,1,0,0,5,12,11,0,0,0,0,0,0
org::apache::lucene::search::SimilarityDelegator ,3,2,2,1,36,0,1,0,27,9,31,1,0,0,9,17,9,0,0,0,0,0,0
org::apache::lucene::search::FuzzyQuery ,16,3,3,13,36,0,4,2,88,9,49,2,0,0,8,44,21,0,0,0,0,0,0
org::apache::lucene::xmlparser::builders::BoostingQueryBuilder ,5,1,1,4,1,0,2,0,20,2,10,1,0,1,2,8,2,0,0,0,0,0,0
org::apache::lucene::search::SpanFilter ,1,2,1,0,0,2,0,0,0,1,21,0,0,0,1,1,0,0,0,0,0,0,0
org::apache::lucene::store::instantiated::InstantiatedTermPositionVector ,3,2,1,2,3,0,1,0,9,3,50,1,0,0,3,9,3,0,0,0,0,0,0
org::apache::lucene::store::MockRAMOutputStream ,3,3,1,3,10,0,3,1,61,5,35,2,0,1,5,19,15,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::ResetSystemSoftTask ,2,3,0,2,1,1,0,2,7,2,42,0,0,0,2,4,2,0,0,0,0,0,0
org::apache::lucene::index::IndexCommit ,19,1,15,4,66,3,0,0,31,12,12,0,0,0,12,28,11,0,0,0,0,0,0
org::apache::lucene::analysis::compound::hyphenation::Hyphenation ,2,1,2,0,3,0,2,0,9,3,9,2,0,0,2,3,3,0,0,0,0,0,0
org::apache::lucene::search::similar::SimilarityQueries ,5,1,0,5,1,0,0,0,28,2,9,0,1,0,1,14,6,0,0,0,0,0,0
org::apache::lucene::analysis::SimpleAnalyzer ,47,2,44,3,3,0,0,0,12,3,15,0,0,0,3,8,3,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::DirDocMaker ,9,2,0,9,10,0,4,11,66,5,33,0,0,0,3,41,11,0,0,0,0,0,0
org::apache::lucene::search::regex::SpanRegexQuery ,15,3,2,13,66,0,2,0,73,12,46,2,0,0,12,41,18,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::feeds::SimpleQueryMaker ,3,2,0,3,0,1,0,3,24,1,23,0,0,0,0,14,1,0,0,0,0,0,0
org::apache::lucene::index::TermVectorsTermsWriterPerField ,10,2,2,10,36,0,10,0,186,9,15,0,0,10,2,43,31,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::CommitIndexTask ,2,2,0,2,1,0,0,2,11,2,39,0,0,0,2,5,3,0,0,0,0,0,0
org::apache::lucene::benchmark::byTask::tasks::SearchTravRetHighlightTask ,8,4,0,8,28,1,4,3,55,8,64,0,0,0,7,41,18,0,0,0,0,0,0
org::apache::lucene::search::highlight::QueryScorer ,3,1,1,2,15,0,5,0,45,6,12,1,0,4,6,18,11,0,0,0,0,0,0
org::apache::lucene::queryParser::FastCharStream ,3,1,1,2,91,0,6,0,75,14,21,0,1,6,13,24,19,0,0,0,0,0,0
org::apache::lucene::benchmark::standard::StandardOptions ,1,1,1,0,28,0,4,0,24,8,9,4,0,0,8,8,8,0,0,0,0,0,0
org::apache::lucene::search::function::FieldCacheSource ,5,2,4,1,28,4,1,0,23,8,23,1,0,0,8,13,7,0,0,0,0,0,0
org::apache::lucene::search::CachingWrapperFilter ,6,2,4,2,15,2,2,0,54,6,21,0,0,0,6,16,11,1,0,0,0,0,1
org::apache::lucene::search::RangeQuery ,12,3,5,7,105,1,6,2,85,15,49,6,1,0,13,49,54,1,0,0,0,0,1
org::apache::lucene::analysis::sinks::TokenRangeSinkTokenizer ,1,4,0,1,3,0,3,3,14,3,22,3,0,0,3,4,5,0,0,0,0,0,0
org::apache::lucene::index::CompoundFileWriter ,11,1,4,7,15,0,6,0,147,6,9,6,1,0,4,52,22,0,0,0,0,0,0
org::apache::lucene::benchmark::standard::StandardBenchmarker ,26,2,0,26,45,0,3,0,319,10,12,1,0,0,4,165,58,0,0,0,0,0,0
org::apache::lucene::queryParser::surround::query::SrndBooleanQuery ,4,1,3,1,1,0,0,0,13,2,9,0,0,0,2,12,4,0,0,0,0,0,0
org::apache::lucene::analysis::snowball::SnowballFilter ,8,3,2,6,1,0,1,1,23,2,16,1,0,0,2,13,4,0,0,0,0,0,0
org::apache::lucene::index::FieldInfo ,1,1,1,0,3,0,9,0,38,3,9,0,0,9,1,4,10,1,0,0,0,0,1
org::apache::lucene::search::Hits ,39,1,31,9,55,0,14,0,141,11,9,13,5,1,5,42,32,0,0,0,0,0,0
org::apache::lucene::search::spell::JaroWinklerDistance ,2,1,1,1,10,0,1,0,73,5,10,1,1,0,4,25,19,0,0,0,0,0,0
org::apache::lucene::search::FieldSortedHitQueue ,10,2,1,9,153,0,4,1,265,18,19,0,1,0,4,73,33,0,0,0,0,0,0
org::apache::lucene::util::cache::SimpleLRUCache ,3,3,2,1,0,0,2,1,11,1,22,2,0,0,1,3,1,0,0,0,0,0,0
